// Group Settings
// Note: Rates N / 1000000
//	Group	DropRate	SkillRate	LuckRate	OptionRate	ExcRate
0
	3	160000		1000000		350000		1000000		750000
									
	4	100000		1000000		500000		1000000		1000000

	5	30000		1000000		500000		1000000		1000000

	6	160000		0		350000		1000000		750000

	7	100000		0		500000		1000000		1000000

	8	120000		0		0		1000000		0

	9	100000		0		0		0		0

	10	157000		0		0		0		0

	11	52150		0		0		0		0

	12	16600		0		0		0		0

	13	2000		0		0		0		0

	14	70		0		0		0		0

	15	180		0		0		0		0

	16	300		0		0		0		0

	17	300		0		0		0		0

	18	1400		0		0		0		0

end
// AddOption Settings ( Additional Dmg/Def )
1
	//Op	Rate

	0	500000

	1	300000

	2	150000

	3	50000

	4	0

end
// ExcOption Settings ( ExcOption Rates )
2

	//Op	Rate

	0	250000

	1	150000

	2	150000

	3	150000

	4	1000

	5	1000

end

//ItemDrop Groups

	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption

3
	0	0	0	0	0	1	1	2
	0	16	0	0	1	1	1	2
	0	17	0	0	1	1	1	2
	0	18	0	0	1	1	1	2
	0	31	0	0	1	1	1	2
	2	6	0	0	1	1	1	2
	2	10	0	0	1	1	1	2
	2	11	0	0	1	1	1	2
	4	6	0	0	1	1	1	2
	4	16	0	0	1	1	1	2
	4	17	0	0	1	1	1	2
	4	19	0	0	1	1	1	2
	5	7	0	0	0	1	1	2
	5	8	0	0	0	1	1	2
	5	9	0	0	0	1	1	2
	0	16	5	7	1	1	1	0
	0	17	5	7	1	1	1	0
	0	18	5	7	1	1	1	0
	0	31	5	7	1	1	1	0
	2	6	5	7	1	1	1	0
	2	10	5	7	1	1	1	0
	2	11	5	7	1	1	1	0
	4	6	5	7	1	1	1	0
	4	16	5	7	1	1	1	0
	4	17	5	7	1	1	1	0
	4	19	5	7	1	1	1	0
	5	7	5	7	0	1	1	0
	5	8	5	7	0	1	1	0
	5	9	5	7	0	1	1	0
end

4
	0	2	0	0	0	1	1	2
	0	3	0	0	1	1	1	2
	1	3	0	0	1	1	1	2
	2	2	0	0	0	1	1	2
	2	4	0	0	1	1	1	2
	2	5	0	0	1	1	1	2
	2	7	0	0	1	1	1	2
	2	8	0	0	1	1	1	2
