// NPC Pos Settings
// [ITIndex] [MonId] [Distance] [SpawnX] [SpawnY] [Dir]
0
// Illusion Temple 1 NPC's
0	381 	0	139 47	1
0	382	0	199	123	1
0	383	0	142	58	1
0	384	0	196	112	1
// Illusion Temple 2 NPC's
1	381 	0	139 47	1
1	382	0	199	123	1
1	383	0	142	58	1
1	384	0	196	112	1
// Illusion Temple 3 NPC's
2	381 	0	139 47	1
2	382	0	199	123	1
2	383	0	142	58	1
2	384	0	196	112	1
// Illusion Temple 4 NPC's
3	381 	0	139 47	1
3	382	0	199	123	1
3	383	0	142	58	1
3	384	0	196	112	1
// Illusion Temple 5 NPC's
4	381 	0	139 47	1
4	382	0	199	123	1
4	383	0	142	58	1
4	384	0	196	112	1
end


// Monster Pos Settings
1
// Illusion Temple 1 Monsters
0	386	0	167	98	1
0	387	0	175	103	1
0	388	0	167	113	1
// Illusion Temple 2 Monsters
1	389	0	167	98	1
1	390	0	175	103	1
1	391	0	167	113	1
// Illusion Temple 3 Monsters
2	392	0	167	98	1
2	393	0	175	103	1
2	394	0	167	113	1
// Illusion Temple 4 Monsters
3	395	0	167	98	1
3	396	0	175	103	1
3	397	0	167	113	1
// Illusion Temple 5 Monsters
4	398	0	167	98	1
4	399	0	175	103	1
4	400	0	167	113	1
end
