// Time Settings
// CloseTime OpenTime EventTime
0
35	5	20
end

// Monster Settings
// Square	MonsterId	StartMinute	EndMinute
1
0	17	0	7
0	15	0	7
0	5	5	14
0	13	5	14
0	8	12	20
0	36	12	20

1	10	0	7
1	39	0	7
1	34	5	14
1	41	5	14
1	40	12	20
1	35	12	20

2	41	0	7
2	37	0	7
2	35	5	14
2	180	5	14
2	64	12	20
2	65	12	20

3	64	0	7
3	65	0	7
3	60	5	14
3	294	5	14
3	57	12	20
3	70	12	20

4	294	0	7
4	60	0	7
4	71	5	14
4	190	5	14
4	61	12	20
4	73	12	20

5	290	0	7
5	57	0	7
5	70	5	14
5	293	5	14
5	74	12	20
5	292	12	20
end

// Boss Settings
// Square MonsterID	SpawnTime	SX	SY	TX	TY
2
0	18	15	119 80   150  115
0	18	15	119 80   150  115
0	18	15	119 80   150  115
0	18	15	119 80   150  115
0	18	15	119 80   150  115

1	49	15	121 152 151 184
1	49	15	121 152 151 184
1	49	15	121 152 151 184
1	49	15	121 152 151 184
1	49	15	121 152 151 184

2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173

3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109

4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115

5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
end

// Reward Settings
// Square Place Exp	Zen
3
0	0	6000	10000000
0	1	4000	7500000
0	2	2000	5000000
0	3	1000	2500000
	
1	0	8000	15000000
1	1	6000	10000000
1	2	4000	7500000
1	3	2000	5000000

2	0	10000	20000000
2	1	8000	15000000
2	2	6000	10000000
2	3	4000	7500000

3	0	20000	30000000
3	1	10000	20000000
3	2	8000	15000000
3	3	6000	10000000

4	0	22000	40000000
4	1	20000	30000000
4	2	10000	20000000
4	3	8000	15000000

5	0	24000	50000000
5	1	22000	40000000
5	2	20000	30000000
5	3	10000	20000000
end
